timestamp,sensor_position,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,left_ankle,0.1,9.8,0.05,0.01,0.02,0.01
10,left_ankle,0.15,9.82,0.08,0.015,0.025,0.012
20,left_ankle,0.12,9.79,0.06,0.012,0.022,0.011
30,left_ankle,0.18,9.85,0.09,0.018,0.028,0.013
40,left_ankle,0.14,9.81,0.07,0.014,0.024,0.012
50,left_ankle,0.16,9.83,0.08,0.016,0.026,0.013
100,right_ankle,0.08,9.8,0.04,0.008,0.016,0.008
110,right_ankle,0.22,9.88,0.10,0.022,0.035,0.015
120,right_ankle,0.25,9.90,0.12,0.025,0.038,0.016
130,right_ankle,0.20,9.85,0.09,0.020,0.032,0.014
140,right_ankle,0.10,9.81,0.05,0.010,0.020,0.009
150,right_ankle,0.12,9.82,0.06,0.012,0.024,0.011
