timestamp,joint_name,x,y,z,confidence
0,hip,0.5,0.3,0.0,0.95
10,hip,0.502,0.305,0.01,0.94
20,hip,0.505,0.31,0.02,0.93
30,hip,0.503,0.308,0.015,0.94
40,hip,0.504,0.312,0.025,0.92
50,hip,0.506,0.315,0.03,0.93
100,left_knee,0.4,0.15,0.0,0.90
110,left_knee,0.398,0.14,0.02,0.89
120,left_knee,0.395,0.13,0.04,0.85
130,left_knee,0.397,0.14,0.03,0.88
140,left_knee,0.4,0.15,0.01,0.90
150,left_knee,0.402,0.16,0.0,0.91
200,right_knee,0.6,0.16,0.0,0.88
210,right_knee,0.598,0.14,0.03,0.82
220,right_knee,0.595,0.12,0.06,0.75
230,right_knee,0.597,0.13,0.05,0.80
240,right_knee,0.6,0.16,0.02,0.87
250,right_knee,0.602,0.17,0.0,0.89
